STATISTIC,Statistic Label,TLIST(A1),Year,C04313V05092,Type of Expenditure on Education,UNIT,VALUE
CEPHA18C01,Government Expenditure on Education,1926,1926,100,Administration,£,169516
CEPHA18C01,Government Expenditure on Education,1926,1926,110,Teacher Training - Primary Education,£,80122
CEPHA18C01,Government Expenditure on Education,1926,1926,120,Teacher Salary - Primary Education,£,3259509
CEPHA18C01,Government Expenditure on Education,1926,1926,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,135,Teacher Pension (Grants in Aid) - Primary Education,£,56737
CEPHA18C01,Government Expenditure on Education,1926,1926,140,Miscellaneous - Primary Education,£,71198
CEPHA18C01,Government Expenditure on Education,1926,1926,150,Appropriations in Aid (deduct) - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,160,Total Primary Education,£,3467566
CEPHA18C01,Government Expenditure on Education,1926,1926,170,Total Secondary Education,£,263047
CEPHA18C01,Government Expenditure on Education,1926,1926,180,State funds - Technical (Vocational),£,179422
CEPHA18C01,Government Expenditure on Education,1926,1926,190,Local rates - Technical (Vocational),£,58828
CEPHA18C01,Government Expenditure on Education,1926,1926,200,Total Technical (Vocational),£,238250
CEPHA18C01,Government Expenditure on Education,1926,1926,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,230,Total Science and Art,£,55089
CEPHA18C01,Government Expenditure on Education,1926,1926,240,Total Reformatory and Industrial Schools,£,96327
CEPHA18C01,Government Expenditure on Education,1926,1926,250,Total Education Expenditure,£,4289795
CEPHA18C01,Government Expenditure on Education,1926,1926,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1926,1926,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1926,1926,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1926,1926,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,100,Administration,£,170715
CEPHA18C01,Government Expenditure on Education,1927,1927,110,Teacher Training - Primary Education,£,84123
CEPHA18C01,Government Expenditure on Education,1927,1927,120,Teacher Salary - Primary Education,£,3316234
CEPHA18C01,Government Expenditure on Education,1927,1927,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,135,Teacher Pension (Grants in Aid) - Primary Education,£,57165
CEPHA18C01,Government Expenditure on Education,1927,1927,140,Miscellaneous - Primary Education,£,59930
CEPHA18C01,Government Expenditure on Education,1927,1927,150,Appropriations in Aid (deduct) - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,160,Total Primary Education,£,3517452
CEPHA18C01,Government Expenditure on Education,1927,1927,170,Total Secondary Education,£,240553
CEPHA18C01,Government Expenditure on Education,1927,1927,180,State funds - Technical (Vocational),£,190689
CEPHA18C01,Government Expenditure on Education,1927,1927,190,Local rates - Technical (Vocational),£,57437
CEPHA18C01,Government Expenditure on Education,1927,1927,200,Total Technical (Vocational),£,248126
CEPHA18C01,Government Expenditure on Education,1927,1927,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,230,Total Science and Art,£,41637
CEPHA18C01,Government Expenditure on Education,1927,1927,240,Total Reformatory and Industrial Schools,£,102794
CEPHA18C01,Government Expenditure on Education,1927,1927,250,Total Education Expenditure,£,4321270
CEPHA18C01,Government Expenditure on Education,1927,1927,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1927,1927,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1927,1927,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1927,1927,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,100,Administration,£,163762
CEPHA18C01,Government Expenditure on Education,1928,1928,110,Teacher Training - Primary Education,£,94858
CEPHA18C01,Government Expenditure on Education,1928,1928,120,Teacher Salary - Primary Education,£,3366697
CEPHA18C01,Government Expenditure on Education,1928,1928,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,135,Teacher Pension (Grants in Aid) - Primary Education,£,62013
CEPHA18C01,Government Expenditure on Education,1928,1928,140,Miscellaneous - Primary Education,£,52980
CEPHA18C01,Government Expenditure on Education,1928,1928,150,Appropriations in Aid (deduct) - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,160,Total Primary Education,£,3576548
CEPHA18C01,Government Expenditure on Education,1928,1928,170,Total Secondary Education,£,262232
CEPHA18C01,Government Expenditure on Education,1928,1928,180,State funds - Technical (Vocational),£,187667
CEPHA18C01,Government Expenditure on Education,1928,1928,190,Local rates - Technical (Vocational),£,64105
CEPHA18C01,Government Expenditure on Education,1928,1928,200,Total Technical (Vocational),£,251772
CEPHA18C01,Government Expenditure on Education,1928,1928,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,230,Total Science and Art,£,30476
CEPHA18C01,Government Expenditure on Education,1928,1928,240,Total Reformatory and Industrial Schools,£,110163
CEPHA18C01,Government Expenditure on Education,1928,1928,250,Total Education Expenditure,£,4394953
CEPHA18C01,Government Expenditure on Education,1928,1928,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1928,1928,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1928,1928,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1928,1928,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,100,Administration,£,165155
CEPHA18C01,Government Expenditure on Education,1929,1929,110,Teacher Training - Primary Education,£,98989
CEPHA18C01,Government Expenditure on Education,1929,1929,120,Teacher Salary - Primary Education,£,3400303
CEPHA18C01,Government Expenditure on Education,1929,1929,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,135,Teacher Pension (Grants in Aid) - Primary Education,£,64542
CEPHA18C01,Government Expenditure on Education,1929,1929,140,Miscellaneous - Primary Education,£,50894
CEPHA18C01,Government Expenditure on Education,1929,1929,150,Appropriations in Aid (deduct) - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,160,Total Primary Education,£,3614728
CEPHA18C01,Government Expenditure on Education,1929,1929,170,Total Secondary Education,£,282111
CEPHA18C01,Government Expenditure on Education,1929,1929,180,State funds - Technical (Vocational),£,185411
CEPHA18C01,Government Expenditure on Education,1929,1929,190,Local rates - Technical (Vocational),£,66258
CEPHA18C01,Government Expenditure on Education,1929,1929,200,Total Technical (Vocational),£,251669
CEPHA18C01,Government Expenditure on Education,1929,1929,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,230,Total Science and Art,£,32905
CEPHA18C01,Government Expenditure on Education,1929,1929,240,Total Reformatory and Industrial Schools,£,112953
CEPHA18C01,Government Expenditure on Education,1929,1929,250,Total Education Expenditure,£,4459521
CEPHA18C01,Government Expenditure on Education,1929,1929,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1929,1929,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1929,1929,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,100,Administration,£,163704
CEPHA18C01,Government Expenditure on Education,1930,1930,110,Teacher Training - Primary Education,£,95449
CEPHA18C01,Government Expenditure on Education,1930,1930,120,Teacher Salary - Primary Education,£,3406156
CEPHA18C01,Government Expenditure on Education,1930,1930,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,135,Teacher Pension (Grants in Aid) - Primary Education,£,66906
CEPHA18C01,Government Expenditure on Education,1930,1930,140,Miscellaneous - Primary Education,£,26332
